timestamp,road,hour,velocity_kmh,density_veh_km,flow_veh_h,wait_time_sec,stops_count
2024-01-01 00:00:00,Av. Chapultepec,0,54.97,37.93,300.0,100.35,1
2024-01-01 00:10:00,Av. Chapultepec,0,65.23,63.69,415.44,63.06,0
2024-01-01 00:20:00,Av. Chapultepec,0,44.19,32.12,300.0,128.57,4
2024-01-01 00:30:00,Av. Chapultepec,0,40.76,26.38,300.0,133.03,5
2024-01-01 00:40:00,Av. Chapultepec,0,38.49,45.64,300.0,149.66,4
2024-01-01 00:50:00,Av. Chapultepec,0,47.08,36.56,300.0,127.33,4
2024-01-01 01:00:00,Av. Chapultepec,1,57.38,42.57,300.0,83.65,3
2024-01-01 01:10:00,Av. Chapultepec,1,46.99,45.15,300.0,106.16,2
2024-01-01 01:20:00,Av. Chapultepec,1,55.82,53.32,300.0,99.61,1
2024-01-01 01:30:00,Av. Chapultepec,1,57.55,17.38,300.0,95.18,1
2024-01-01 01:40:00,Av. Chapultepec,1,61.8,26.53,300.0,76.61,1
2024-01-01 01:50:00,Av. Chapultepec,1,52.97,54.59,300.0,109.33,5
2024-01-01 02:00:00,Av. Chapultepec,2,35.81,55.64,300.0,174.74,4
2024-01-01 02:10:00,Av. Chapultepec,2,50.19,27.87,300.0,106.77,8
2024-01-01 02:20:00,Av. Chapultepec,2,46.91,50.1,300.0,121.53,3
2024-01-01 02:30:00,Av. Chapultepec,2,46.32,5.0,300.0,129.75,2
2024-01-01 02:40:00,Av. Chapultepec,2,48.39,46.06,300.0,137.41,6
2024-01-01 02:50:00,Av. Chapultepec,2,51.75,41.54,300.0,101.63,1
2024-01-01 03:00:00,Av. Chapultepec,3,54.78,36.11,300.0,88.84,5
2024-01-01 03:10:00,Av. Chapultepec,3,45.79,27.97,300.0,142.15,5
2024-01-01 03:20:00,Av. Chapultepec,3,67.07,53.1,356.15,48.59,1
2024-01-01 03:30:00,Av. Chapultepec,3,46.34,48.05,300.0,117.06,3
2024-01-01 03:40:00,Av. Chapultepec,3,46.43,48.34,300.0,136.32,3
2024-01-01 03:50:00,Av. Chapultepec,3,55.26,18.4,300.0,104.67,6
2024-01-01 04:00:00,Av. Chapultepec,4,52.93,29.28,300.0,120.17,4
2024-01-01 04:10:00,Av. Chapultepec,4,54.74,51.55,300.0,107.42,4
2024-01-01 04:20:00,Av. Chapultepec,4,41.1,27.76,300.0,145.09,8
2024-01-01 04:30:00,Av. Chapultepec,4,53.41,40.63,300.0,98.33,5
2024-01-01 04:40:00,Av. Chapultepec,4,48.76,51.11,300.0,112.63,3
2024-01-01 04:50:00,Av. Chapultepec,4,57.77,50.65,300.0,84.29,2
2024-01-01 05:00:00,Av. Chapultepec,5,50.58,22.86,300.0,113.9,8
2024-01-01 05:10:00,Av. Chapultepec,5,55.61,61.56,342.32,91.54,5
2024-01-01 05:20:00,Av. Chapultepec,5,51.65,27.16,300.0,105.92,3
2024-01-01 05:30:00,Av. Chapultepec,5,44.65,26.6,300.0,129.2,4
2024-01-01 05:40:00,Av. Chapultepec,5,50.46,30.23,300.0,132.23,6
2024-01-01 05:50:00,Av. Chapultepec,5,56.34,28.42,300.0,105.34,1
2024-01-01 06:00:00,Av. Chapultepec,6,53.18,15.82,300.0,110.04,6
2024-01-01 06:10:00,Av. Chapultepec,6,62.66,59.0,369.74,57.93,0
2024-01-01 06:20:00,Av. Chapultepec,6,47.63,68.08,324.24,121.21,3
2024-01-01 06:30:00,Av. Chapultepec,6,40.67,63.15,300.0,160.7,4
2024-01-01 06:40:00,Av. Chapultepec,6,40.18,46.93,300.0,151.3,4
2024-01-01 06:50:00,Av. Chapultepec,6,44.0,30.77,300.0,156.12,6
2024-01-01 07:00:00,Av. Chapultepec,7,68.65,23.58,300.0,40.47,1
2024-01-01 07:10:00,Av. Chapultepec,7,58.59,23.97,300.0,88.78,2
2024-01-01 07:20:00,Av. Chapultepec,7,69.71,37.48,300.0,32.3,0
2024-01-01 07:30:00,Av. Chapultepec,7,76.4,39.39,300.95,19.61,1
2024-01-01 07:40:00,Av. Chapultepec,7,80.0,23.94,300.0,5.47,1
2024-01-01 07:50:00,Av. Chapultepec,7,62.37,40.29,300.0,74.24,2
2024-01-01 08:00:00,Av. Chapultepec,8,58.2,41.72,300.0,79.36,0
2024-01-01 08:10:00,Av. Chapultepec,8,76.1,34.51,300.0,13.32,1
2024-01-01 08:20:00,Av. Chapultepec,8,54.36,54.91,300.0,86.08,4
2024-01-01 08:30:00,Av. Chapultepec,8,49.22,22.7,300.0,115.35,4
2024-01-01 08:40:00,Av. Chapultepec,8,70.37,24.26,300.0,27.9,0
2024-01-01 08:50:00,Av. Chapultepec,8,68.17,25.77,300.0,46.41,2
2024-01-01 09:00:00,Av. Chapultepec,9,35.52,18.89,300.0,159.62,6
2024-01-01 09:10:00,Av. Chapultepec,9,47.87,29.76,300.0,120.02,1
2024-01-01 09:20:00,Av. Chapultepec,9,62.71,51.56,323.36,69.76,2
2024-01-01 09:30:00,Av. Chapultepec,9,50.89,43.36,300.0,109.29,3
2024-01-01 09:40:00,Av. Chapultepec,9,64.51,54.39,350.87,79.61,2
2024-01-01 09:50:00,Av. Chapultepec,9,42.33,38.34,300.0,151.04,4
2024-01-01 10:00:00,Av. Chapultepec,10,42.41,42.26,300.0,144.39,9
2024-01-01 10:10:00,Av. Chapultepec,10,68.76,57.69,396.7,37.45,1
2024-01-01 10:20:00,Av. Chapultepec,10,32.87,60.31,300.0,175.6,7
2024-01-01 10:30:00,Av. Chapultepec,10,62.38,33.25,300.0,72.31,1
2024-01-01 10:40:00,Av. Chapultepec,10,51.2,47.72,300.0,115.11,3
2024-01-01 10:50:00,Av. Chapultepec,10,38.75,63.27,300.0,155.83,7
2024-01-01 11:00:00,Av. Chapultepec,11,56.45,60.53,341.71,78.65,1
2024-01-01 11:10:00,Av. Chapultepec,11,56.86,55.88,317.72,69.19,3
2024-01-01 11:20:00,Av. Chapultepec,11,65.02,41.11,300.0,72.45,4
2024-01-01 11:30:00,Av. Chapultepec,11,36.2,35.78,300.0,147.61,5
2024-01-01 11:40:00,Av. Chapultepec,11,38.99,47.32,300.0,161.27,4
2024-01-01 11:50:00,Av. Chapultepec,11,47.09,32.05,300.0,115.47,1
2024-01-01 12:00:00,Av. Chapultepec,12,53.82,22.25,300.0,92.63,2
2024-01-01 12:10:00,Av. Chapultepec,12,41.82,43.38,300.0,155.21,3
2024-01-01 12:20:00,Av. Chapultepec,12,64.36,27.9,300.0,51.27,1
2024-01-01 12:30:00,Av. Chapultepec,12,61.37,68.74,421.88,66.74,3
2024-01-01 12:40:00,Av. Chapultepec,12,64.37,22.89,300.0,58.92,1
2024-01-01 12:50:00,Av. Chapultepec,12,65.65,57.14,375.17,29.23,0
2024-01-01 13:00:00,Av. Chapultepec,13,42.44,18.67,300.0,134.4,6
2024-01-01 13:10:00,Av. Chapultepec,13,39.18,75.61,300.0,163.2,4
2024-01-01 13:20:00,Av. Chapultepec,13,59.26,68.64,406.78,63.78,0
2024-01-01 13:30:00,Av. Chapultepec,13,55.63,33.13,300.0,85.13,1
2024-01-01 13:40:00,Av. Chapultepec,13,41.71,31.82,300.0,118.54,6
2024-01-01 13:50:00,Av. Chapultepec,13,56.85,47.51,300.0,77.05,4
2024-01-01 14:00:00,Av. Chapultepec,14,44.35,24.97,300.0,136.47,3
2024-01-01 14:10:00,Av. Chapultepec,14,22.59,22.91,300.0,217.96,4
2024-01-01 14:20:00,Av. Chapultepec,14,60.06,31.35,300.0,83.12,4
2024-01-01 14:30:00,Av. Chapultepec,14,38.7,42.55,300.0,155.76,3
2024-01-01 14:40:00,Av. Chapultepec,14,48.8,41.71,300.0,111.05,2
2024-01-01 14:50:00,Av. Chapultepec,14,55.88,44.35,300.0,111.19,5
2024-01-01 15:00:00,Av. Chapultepec,15,31.29,34.73,300.0,182.84,8
2024-01-01 15:10:00,Av. Chapultepec,15,66.76,26.88,300.0,45.63,4
2024-01-01 15:20:00,Av. Chapultepec,15,45.41,27.25,300.0,138.03,4
2024-01-01 15:30:00,Av. Chapultepec,15,41.44,59.3,300.0,140.16,5
2024-01-01 15:40:00,Av. Chapultepec,15,33.68,44.21,300.0,163.12,7
2024-01-01 15:50:00,Av. Chapultepec,15,44.87,36.96,300.0,132.2,8
2024-01-01 16:00:00,Av. Chapultepec,16,65.93,32.33,300.0,42.86,2
2024-01-01 16:10:00,Av. Chapultepec,16,48.74,78.08,380.58,122.46,2
2024-01-01 16:20:00,Av. Chapultepec,16,39.88,15.18,300.0,158.69,5
2024-01-01 16:30:00,Av. Chapultepec,16,50.73,36.31,300.0,107.02,5
2024-01-01 16:40:00,Av. Chapultepec,16,47.31,23.4,300.0,148.32,4
2024-01-01 16:50:00,Av. Chapultepec,16,50.59,78.55,397.4,99.21,2
2024-01-01 17:00:00,Av. Chapultepec,17,32.89,40.27,300.0,189.14,6
2024-01-01 17:10:00,Av. Chapultepec,17,40.97,24.69,300.0,145.66,3
2024-01-01 17:20:00,Av. Chapultepec,17,60.14,20.77,300.0,75.47,2
2024-01-01 17:30:00,Av. Chapultepec,17,68.18,26.0,300.0,40.59,3
2024-01-01 17:40:00,Av. Chapultepec,17,54.87,35.17,300.0,100.19,0
2024-01-01 17:50:00,Av. Chapultepec,17,65.67,10.68,300.0,71.4,3
2024-01-01 18:00:00,Av. Chapultepec,18,80.0,9.79,300.0,7.56,0
2024-01-01 18:10:00,Av. Chapultepec,18,50.22,6.27,300.0,128.65,5
2024-01-01 18:20:00,Av. Chapultepec,18,71.6,30.18,300.0,27.87,0
2024-01-01 18:30:00,Av. Chapultepec,18,69.2,51.66,357.52,47.21,1
2024-01-01 18:40:00,Av. Chapultepec,18,51.96,29.65,300.0,88.85,4
2024-01-01 18:50:00,Av. Chapultepec,18,77.73,31.31,300.0,18.35,1
2024-01-01 19:00:00,Av. Chapultepec,19,31.59,20.81,300.0,175.28,4
2024-01-01 19:10:00,Av. Chapultepec,19,50.26,17.14,300.0,103.54,4
2024-01-01 19:20:00,Av. Chapultepec,19,54.93,42.77,300.0,85.42,0
2024-01-01 19:30:00,Av. Chapultepec,19,57.0,49.11,300.0,71.05,0
2024-01-01 19:40:00,Av. Chapultepec,19,75.6,38.56,300.0,27.99,0
2024-01-01 19:50:00,Av. Chapultepec,19,42.97,42.7,300.0,135.52,7
2024-01-01 20:00:00,Av. Chapultepec,20,32.37,57.16,300.0,165.41,9
2024-01-01 20:10:00,Av. Chapultepec,20,47.74,52.28,300.0,122.32,2
2024-01-01 20:20:00,Av. Chapultepec,20,49.6,50.22,300.0,114.27,2
2024-01-01 20:30:00,Av. Chapultepec,20,50.3,18.92,300.0,116.39,1
2024-01-01 20:40:00,Av. Chapultepec,20,39.58,59.17,300.0,148.98,7
2024-01-01 20:50:00,Av. Chapultepec,20,51.35,50.7,300.0,107.91,6
2024-01-01 21:00:00,Av. Chapultepec,21,45.54,61.8,300.0,145.0,3
2024-01-01 21:10:00,Av. Chapultepec,21,44.77,24.94,300.0,124.43,1
2024-01-01 21:20:00,Av. Chapultepec,21,49.65,43.51,300.0,129.31,4
2024-01-01 21:30:00,Av. Chapultepec,21,40.02,74.65,300.0,143.3,6
2024-01-01 21:40:00,Av. Chapultepec,21,43.62,32.04,300.0,130.18,5
2024-01-01 21:50:00,Av. Chapultepec,21,44.45,61.31,300.0,127.62,4
2024-01-01 22:00:00,Av. Chapultepec,22,73.57,54.07,397.8,15.7,1
2024-01-01 22:10:00,Av. Chapultepec,22,51.65,48.15,300.0,117.16,2
2024-01-01 22:20:00,Av. Chapultepec,22,36.21,29.04,300.0,163.89,3
2024-01-01 22:30:00,Av. Chapultepec,22,67.95,39.75,300.0,57.09,3
2024-01-01 22:40:00,Av. Chapultepec,22,56.82,67.7,384.67,92.77,10
2024-01-01 22:50:00,Av. Chapultepec,22,46.41,34.45,300.0,117.64,5
2024-01-01 23:00:00,Av. Chapultepec,23,58.18,17.66,300.0,82.08,4
2024-01-01 23:10:00,Av. Chapultepec,23,50.9,43.74,300.0,124.9,6
2024-01-01 23:20:00,Av. Chapultepec,23,48.14,33.93,300.0,115.86,3
2024-01-01 23:30:00,Av. Chapultepec,23,51.75,45.51,300.0,100.69,0
2024-01-01 23:40:00,Av. Chapultepec,23,65.66,39.01,300.0,48.24,2
2024-01-01 23:50:00,Av. Chapultepec,23,68.81,21.55,300.0,40.18,2
2024-01-01 00:00:00,Av. México,0,52.44,31.54,300.0,90.55,4
2024-01-01 00:10:00,Av. México,0,58.72,21.59,300.0,96.38,4
2024-01-01 00:20:00,Av. México,0,37.48,61.66,300.0,158.61,8
2024-01-01 00:30:00,Av. México,0,61.17,58.74,359.32,75.52,1
2024-01-01 00:40:00,Av. México,0,53.75,28.64,300.0,84.86,1
2024-01-01 00:50:00,Av. México,0,46.84,16.13,300.0,130.0,3
2024-01-01 01:00:00,Av. México,1,48.27,29.68,300.0,143.71,4
2024-01-01 01:10:00,Av. México,1,45.04,25.5,300.0,130.62,4
2024-01-01 01:20:00,Av. México,1,55.25,66.72,368.64,84.05,1
2024-01-01 01:30:00,Av. México,1,50.38,37.31,300.0,103.77,4
2024-01-01 01:40:00,Av. México,1,63.99,53.87,344.73,60.62,4
2024-01-01 01:50:00,Av. México,1,43.53,41.72,300.0,146.26,5
2024-01-01 02:00:00,Av. México,2,39.68,32.06,300.0,157.37,8
2024-01-01 02:10:00,Av. México,2,61.29,36.14,300.0,53.46,4
2024-01-01 02:20:00,Av. México,2,34.38,70.03,300.0,170.01,9
2024-01-01 02:30:00,Av. México,2,67.81,46.02,312.08,38.86,1
2024-01-01 02:40:00,Av. México,2,53.24,35.63,300.0,83.85,4
2024-01-01 02:50:00,Av. México,2,49.5,34.56,300.0,103.19,5
2024-01-01 03:00:00,Av. México,3,49.53,47.16,300.0,115.03,4
2024-01-01 03:10:00,Av. México,3,37.17,27.42,300.0,165.82,3
2024-01-01 03:20:00,Av. México,3,62.15,38.66,300.0,70.58,2
2024-01-01 03:30:00,Av. México,3,62.99,38.93,300.0,63.43,2
2024-01-01 03:40:00,Av. México,3,48.69,24.48,300.0,115.51,1
2024-01-01 03:50:00,Av. México,3,54.48,42.09,300.0,100.21,5
2024-01-01 04:00:00,Av. México,4,40.62,49.66,300.0,150.46,10
2024-01-01 04:10:00,Av. México,4,43.49,56.58,300.0,148.77,4
2024-01-01 04:20:00,Av. México,4,60.05,36.21,300.0,78.21,4
2024-01-01 04:30:00,Av. México,4,64.35,48.96,315.07,65.69,3
2024-01-01 04:40:00,Av. México,4,48.27,40.23,300.0,108.03,4
2024-01-01 04:50:00,Av. México,4,35.6,20.6,300.0,160.49,5
2024-01-01 05:00:00,Av. México,5,50.59,56.89,300.0,105.74,4
2024-01-01 05:10:00,Av. México,5,49.8,60.76,302.61,118.89,3
2024-01-01 05:20:00,Av. México,5,57.59,44.22,300.0,85.08,1
2024-01-01 05:30:00,Av. México,5,49.37,28.69,300.0,112.04,3
2024-01-01 05:40:00,Av. México,5,51.8,60.88,315.35,114.94,3
2024-01-01 05:50:00,Av. México,5,34.29,48.25,300.0,161.71,4
2024-01-01 06:00:00,Av. México,6,63.97,38.87,300.0,54.31,5
