timestamp,avenida,velocidad_kmh,densidad_veh_km,flujo_veh_h,espera_seg,detenciones,anomalia,fuente
2026-09-17T00:00:00,Av. Chapultepec,65.8,50.78,200,96,2,no,sintético_calibrado
2026-09-17T00:10:00,Av. Chapultepec,63.57,52.47,200,82,0,no,sintético_calibrado
2026-09-17T00:20:00,Av. Chapultepec,59.89,62.16,223,105,0,no,sintético_calibrado
2026-09-17T00:30:00,Av. Chapultepec,68.47,54.9,225,86,0,no,sintético_calibrado
2026-09-17T00:40:00,Av. Chapultepec,59.35,62.6,222,118,1,no,sintético_calibrado
2026-09-17T00:50:00,Av. Chapultepec,59.22,61.81,219,94,1,no,sintético_calibrado
2026-09-17T01:00:00,Av. Chapultepec,72.49,48.94,212,51,0,no,sintético_calibrado
2026-09-17T01:10:00,Av. Chapultepec,72.48,49.9,216,78,1,no,sintético_calibrado
2026-09-17T01:20:00,Av. Chapultepec,69.48,59.31,247,79,0,no,sintético_calibrado
2026-09-17T01:30:00,Av. Chapultepec,67.31,58.35,235,65,0,no,sintético_calibrado
2026-09-17T01:40:00,Av. Chapultepec,74.72,48.2,216,50,1,no,sintético_calibrado
2026-09-17T01:50:00,Av. Chapultepec,61.72,68.68,254,106,2,no,sintético_calibrado
2026-09-17T02:00:00,Av. Chapultepec,70.52,54.29,229,83,0,no,sintético_calibrado
2026-09-17T02:10:00,Av. Chapultepec,65.06,55.16,215,80,0,no,sintético_calibrado
2026-09-17T02:20:00,Av. Chapultepec,64.14,53.35,205,80,0,no,sintético_calibrado
2026-09-17T02:30:00,Av. Chapultepec,61.89,54.68,203,84,1,no,sintético_calibrado
2026-09-17T02:40:00,Av. Chapultepec,67.99,48.57,198,60,0,no,sintético_calibrado
2026-09-17T02:50:00,Av. Chapultepec,68.21,45.43,185,61,0,no,sintético_calibrado
2026-09-17T03:00:00,Av. Chapultepec,66.19,59.4,235,83,0,no,sintético_calibrado
2026-09-17T03:10:00,Av. Chapultepec,68.99,57.51,238,68,0,no,sintético_calibrado
2026-09-17T03:20:00,Av. Chapultepec,68.44,51.98,213,82,0,no,sintético_calibrado
2026-09-17T03:30:00,Av. Chapultepec,66.59,50.22,200,84,1,no,sintético_calibrado
2026-09-17T03:40:00,Av. Chapultepec,70.49,53.15,224,58,1,no,sintético_calibrado
2026-09-17T03:50:00,Av. Chapultepec,60.59,65.88,239,110,0,no,sintético_calibrado
2026-09-17T04:00:00,Av. Chapultepec,61.73,54.18,200,91,0,no,sintético_calibrado
2026-09-17T04:10:00,Av. Chapultepec,68.81,55.99,231,67,2,no,sintético_calibrado
2026-09-17T04:20:00,Av. Chapultepec,64.21,63.23,243,103,0,no,sintético_calibrado
2026-09-17T04:30:00,Av. Chapultepec,58.73,60.22,212,101,1,no,sintético_calibrado
2026-09-17T04:40:00,Av. Chapultepec,67.07,51.26,206,93,1,no,sintético_calibrado
2026-09-17T04:50:00,Av. Chapultepec,69.24,52.9,219,79,2,no,sintético_calibrado
2026-09-17T05:00:00,Av. Chapultepec,63.3,54.23,205,103,0,no,sintético_calibrado
2026-09-17T05:10:00,Av. Chapultepec,58.01,56.14,195,116,0,no,sintético_calibrado
2026-09-17T05:20:00,Av. Chapultepec,70.28,54.26,228,91,0,no,sintético_calibrado
2026-09-17T05:30:00,Av. Chapultepec,65.21,61.36,240,77,0,no,sintético_calibrado
2026-09-17T05:40:00,Av. Chapultepec,71.02,48.36,206,68,0,no,sintético_calibrado
2026-09-17T05:50:00,Av. Chapultepec,61.96,59.72,222,113,6,no,sintético_calibrado
2026-09-17T06:00:00,Av. Chapultepec,62.07,60.92,226,100,0,no,sintético_calibrado
2026-09-17T06:10:00,Av. Chapultepec,63.88,47.73,182,101,0,no,sintético_calibrado
2026-09-17T06:20:00,Av. Chapultepec,70.3,43.22,182,54,0,no,sintético_calibrado
2026-09-17T06:30:00,Av. Chapultepec,51.31,48.73,150,119,0,no,sintético_calibrado
2026-09-17T06:40:00,Av. Chapultepec,67.12,44.71,180,70,0,no,sintético_calibrado
2026-09-17T06:50:00,Av. Chapultepec,57.26,52.83,181,110,0,no,sintético_calibrado
2026-09-17T07:00:00,Av. Chapultepec,38.11,74.56,170,153,4,no,sintético_calibrado
2026-09-17T07:10:00,Av. Chapultepec,32.33,70.17,136,150,3,no,sintético_calibrado
2026-09-17T07:20:00,Av. Chapultepec,36.1,72.02,155,177,8,no,sintético_calibrado
2026-09-17T07:30:00,Av. Chapultepec,42.97,76.12,196,150,1,no,sintético_calibrado
2026-09-17T07:40:00,Av. Chapultepec,36.79,67.7,149,158,2,no,sintético_calibrado
2026-09-17T07:50:00,Av. Chapultepec,38.54,71.18,164,172,11,no,sintético_calibrado
2026-09-17T08:00:00,Av. Chapultepec,38.94,69.96,163,152,3,no,sintético_calibrado
2026-09-17T08:10:00,Av. Chapultepec,26.39,82.45,130,172,8,no,sintético_calibrado
2026-09-17T08:20:00,Av. Chapultepec,31.41,84.9,160,160,2,no,sintético_calibrado
2026-09-17T08:30:00,Av. Chapultepec,43.62,70.27,183,121,2,no,sintético_calibrado
2026-09-17T08:40:00,Av. Chapultepec,30.95,73.5,136,165,3,no,sintético_calibrado
2026-09-17T08:50:00,Av. Chapultepec,35.42,79.87,169,149,3,no,sintético_calibrado
2026-09-17T09:00:00,Av. Chapultepec,27.58,84.86,140,177,2,no,sintético_calibrado
2026-09-17T09:10:00,Av. Chapultepec,42.09,72.21,182,149,0,no,sintético_calibrado
2026-09-17T09:20:00,Av. Chapultepec,33.77,83.1,168,145,5,no,sintético_calibrado
